Date,Year,Month,Day,Hour,Demand,Nuclear,Solar PV,Wind,Hydro (on-flow),Combined Cycle GT,Cogeneration,Coal,Pumping Turbine,Pumping Consumption,Andorra Balance,France Balance,Morocco Balance,Portugal Balance,Balearic Interconnection,Solar Thermal,Fuel Oil,Natural Gas - Steam Turbine,Hybridization,Non-renewable Waste,Other Renewables,Battery Charging,Battery Discharge,Balearic HVDC Link,Total Interconnection Balance,PV + Wind
2025-01-01 00:00:00,2025,1,1,0,22928.45,7089.9,0.0,2641.25,2881.2,7412.7,1651.3,427.5,104.75,-316.5,-58.0,2341.0,320.0,-2358.35,-81.6,0.1,0.0,0.0,15.8,231.0,401.4,0.0,0.0,0.0,0.0,2641.25
2025-01-01 01:00:00,2025,1,1,1,22161.85,7087.9,0.0,2826.5,2540.0,6782.35,1647.5,297.5,84.0,-388.6,-54.0,2341.0,320.0,-2266.2,-81.6,0.0,0.0,0.0,18.0,231.4,401.1,0.0,0.0,0.0,0.0,2826.5
2025-01-01 02:00:00,2025,1,1,2,20929.95,7088.9,0.0,3018.0,2149.1,5893.15,1642.1,243.0,80.0,-173.8,-52.0,2341.0,320.0,-2510.8,-81.6,0.0,0.0,0.0,21.0,231.4,395.5,0.0,0.0,0.0,0.0,3018.0
2025-01-01 03:00:00,2025,1,1,3,19707.85,7088.9,8.1,3159.0,1986.2,5407.25,1642.0,243.6,80.0,-622.6,-51.0,2341.0,320.0,-2768.8,-81.6,0.0,0.0,0.0,24.9,231.4,399.5,0.0,0.0,0.0,0.0,3167.1
2025-01-01 04:00:00,2025,1,1,4,18942.0,7088.9,0.0,3222.1,1973.6,5035.65,1670.7,243.0,21.0,-1151.45,-50.0,2400.0,320.0,-2704.3,-81.6,0.0,0.0,0.0,27.4,226.2,400.8,0.0,0.0,0.0,0.0,3222.1
2025-01-01 05:00:00,2025,1,1,5,18666.625,7088.9,0.2,3265.975,1747.3,4836.4,1640.7,243.0,0.0,-1532.75,-50.0,2400.0,320.0,-2406.4,-81.6,0.0,0.0,0.0,27.3,216.7,400.9,0.0,0.0,0.0,0.0,3266.1749999999997
2025-01-01 06:00:00,2025,1,1,6,18920.075,7087.9,0.0,3340.275,1703.7,4705.2,1640.7,243.0,0.0,-1377.25,-52.0,2544.0,320.0,-2318.85,-81.6,0.0,0.0,0.0,26.1,215.2,398.7,0.0,0.0,0.0,0.0,3340.275
2025-01-01 07:00:00,2025,1,1,7,19255.15,7088.9,0.6,3454.35,1804.0,5014.3,1641.7,243.0,0.0,-1683.7,-55.0,2544.0,320.0,-2068.5,-81.6,0.0,0.0,0.0,24.3,215.4,393.4,0.0,0.0,0.0,0.0,3454.95
2025-01-01 08:00:00,2025,1,1,8,19386.65,7089.9,277.45,3436.9,1759.25,4806.25,1641.3,243.0,0.0,-1390.7,-60.0,2544.0,200.0,-1971.8,-81.6,0.0,0.0,0.0,21.6,215.5,405.6,0.0,0.0,0.0,0.0,3714.35
2025-01-01 09:00:00,2025,1,1,9,19910.483,7087.9,3391.375,3576.325,2187.7,4438.65,1569.75,243.0,96.0,-2648.75,-64.0,2300.0,80.0,-2767.4,-102.0,1.6,0.0,0.0,65.9,205.3,399.133,0.0,0.0,0.0,0.0,6967.7
2025-01-01 10:00:00,2025,1,1,10,20996.2,7088.65,8859.725,3363.325,1518.65,2656.7,1276.65,243.0,0.0,-3453.8,-66.0,2300.0,-191.7,-3102.0,-102.0,63.3,0.0,0.0,155.7,205.4,380.6,0.0,0.0,0.0,0.0,12223.05
